"EVENT"
"CD8 CD27-CD28- T Cells, blood"
"Glucose level, CSF"
"O_Glucose level, CSF"
"Protein output, 24hr urine"
"CD8 CD27+CD28- T Cells, blood"
"O_Protein output, 24hr urine"
"INR"
"O_Porphyrins, faeces"
"Benzodiazepine level, urine"
"Oligoclonal band screen, CSF"
"O_Oligoclonal band screen, CSF"
"FIB-4"
"Penicillin V IgE level, blood"
"O_Penicillin V IgE level, blood"
"Candida albicans IgE level, blood"
"O_Candida albicans IgE level, blood"
"Albumin level, CSF"
"Androstenedione level, serum"
"Sodium output, 24hr urine"
"Urate output, 24hr urine"
"O_Urate output, 24hr urine"
"O_Sodium output, 24hr urine"
"CD8 CD27+CD28+ T Cells, blood"
"Chloride output, 24hr urine"
"O_Chloride output, 24hr urine"
"Voltage-gated Ca channel Ab, blood"
"O_Voltage-gated Ca channel Ab, blood"
"Biotinidase level, plasma"
"Thrombin time reference"
"Voltage-gated Ca channel Ab, CSF"
"PML antibody by Immunoblot"
"Phenylalanine level, blood"
"O_Phenylalanine level, blood"
"Protein electrophoresis, urine"
"O_Protein electrophoresis, urine"
"Chromium level, plasma"
"Everolimus level, blood"
"Myoglobin level, urine"
"Lobster IgE level, blood"
"Helicobacter pylori urea breath test"
"O_Lobster IgE level, blood"
"O_Porphyrin screen, urine"
"Ethanol level, urine"
"O_11-Deoxycortisol level, blood"
"O_Ethanol level, urine"
"Clobazam level, blood"
"Sex hormone binding globulin, blood"
"O_Sex hormone binding globulin, blood"
"Guinea pig epithelium IgE level, blood"
"O_Amino acids level, CSF"
"Baker's yeast IgE level, blood"
"O_Guinea pig epithelium IgE level, blood"
"Amino acids level, CSF"
"O_Beta-2 microglobulin, blood"
"Brazil nut IgE level, blood"
"O_Brazil nut IgE level, blood"
"Ma2, CSF"
"Gentamicin level, CSF"
"Thiopurine methyltransferase, blood"
"O_Thiopurine methyltransferase, blood"
"Parsley IgE level, blood"
"O_Parsley IgE level, blood"
"Acylcarnitine profile, blood"
"Cortisol level, urine"
"O_Cortisol level, urine"
"Lettuce IgE level, blood"
"O_Lettuce IgE level, blood"
"Urobilin level, urine"
"CD18 expression, blood"
"Cobalt level, plasma"
"Amino acids level, urine"
"O_Amino acids level, urine"
"CD4 CD27+CD28+ T Cells, blood"
"Osmolality, fluid"
"Citrate level, urine"
"Avocado IgE level, blood"
"O_Avocado IgE level, blood"
"Spinach IgE level, blood"
"O_Citrate level, urine"
"O_Spinach IgE level, blood"
"Specific Gravity Urine Dipstick"
"Walnut IgE level, blood"
"O_Walnut IgE level, blood"
"Glucose level, urine"
"Adenosine deaminase level, fluid"
"CD21 Low B Cells, blood"
"Sesame seed IgE level, blood"
"Blue mussel IgE level, blood"
"Serum viscosity, blood"
"O_Sesame seed IgE level, blood"
"O_Blue mussel IgE level, blood"
"Vacuolated lymphocytes, blood"
"Titin, CSF"
"O_Serum viscosity, blood"
"CD4 CD27-CD28+ T Cells, blood"
"O_Vacuolated lymphocytes, blood"
"O_Heinz bodies screen, blood"
"Promyelocyte count, blood"
"Opiate level, urine"
"Pine nut IgE level, blood"
"O_Pine nut IgE level, blood"
"Sirolimus level, blood"
"O_Sirolimus level, blood"
"AMPA2 receptor antibody, CSF"
"Hamster epithelium IgE level, blood"
"O_Hamster epithelium IgE level, blood"
"Ganglioside GQ1b antibody, blood"
"O_Ganglioside GQ1b Ab, blood"
"Pyruvate kinase assay, blood"
"O_Pyruvate kinase assay, blood"
"Lambda light chain level, blood"
"Aspergillus fumigatus IgE level, blood"
"O_Aspergillus fumigatus IgE level,blood"
"CD34 level, blood"
"Urine volume collected"
"Hu (blot), CSF"
"Cheddar cheese IgE level, blood"
"O_Cheddar cheese IgE level, blood"
"pH (BG)"
"PL-7 antibody (immunoblot), blood"
"O_Zinc level, blood"
"Zinc level, plasma"
"Amylase level, urine"
"O_Amylase level, urine"
"Vancomycin level, CSF"
"O_Pigeon (serum) antibodies, blood"
"Beta trace protein, Serum"
"Tissue transglutaminase IgA Ab, blood"
"Cardiolipin IgM Ab level, blood"
"Ammonia level, blood"
"O_Ammonia level, blood"
"Carrot IgE level, blood"
"O_Carrot IgE level, blood"
"CD4 CD27-CD28- T Cells, blood"
"Cashew nut IgE level, blood"
"Gastrin level,plasma"
"Beta-hydroxybutyrate level, blood"
"O_Cashew nut IgE level, blood"
"Tissue transglutaminase IgG Ab, blood"
"O_Beta-hydroxybutyrate level, blood"
"Pancreatic polypeptide level, plasma"
"Osmolality, blood"
"O_Osmolality, blood"
"PL-12 antibody (immunoblot), blood"
"Oysters IgE level, blood"
"Pineapple IgE level, blood"
"O_Oysters IgE level, blood"
"Scallop IgE level, blood"
"O_Pineapple IgE level, blood"
"O_Scallop IgE level, blood"
"Protein level, CSF"
"O_Protein level, CSF"
"Chromogranin A level, plasma"
"Chromium level, serum"
"AMPA1 receptor antibody, CSF"
"Celery IgE level, blood"
"Mushroom IgE level, blood"
"O_Celery IgE level, blood"
"O_Mushroom IgE level, blood"
"Phenobarbitone screen, blood"
"Molybdenum level, blood"
"Free kappa:lambda light chain ratio"
"Ethanol level, blood"
"O_Ethanol level, blood"
"Renin level, plasma"
"OJ antibody (immunoblot), blood"
"Pistachio IgE level, blood"
"O_Pistachio IgE level, blood"
"Rabbit epithelium IgE level, blood"
"O_Rabbit epithelium IgE level, blood"
"Warfarin Dose"
"C1 esterase inhibitor function, blood"
"O_C1 esterase inhibitor function, blood"
"Cryofibrinogen, blood"
"Promyelocyte %, blood"
"Manganese level, blood"
"Lamotrigine level, plasma"
"Magnesium level, urine"
"O_Manganese level, blood"
"Glutamic acid decarboxylase Ab, CSF"
"GABA(b)R antibody, CSF"
"O_Magnesium level, urine"
"Trout IgE level, blood"
"O_Haemosiderin level, urine"
"O_Trout IgE level, blood"
"Calcium level, blood"
"O_Calcium level, blood"
"Normetadrenaline output, 24hr urine"
"Glucagon level, plasma"
"Penicillin G IgE level, blood"
"O_Penicillin G IgE level, blood"
"Fructosamine level serum"
"Kappa light chain level, blood"
"Calcium level, urine"
"O_Calcium level, urine"
"Rat urine IgE level, blood"
"O_Rat urine IgE level, blood"
"Creatinine level, urine"
"Aspartate aminotransferase level, blood"
"O_Aspartate aminotransferase level,blood"
"O_Creatinine level, urine"
"O_Folate level, blood"
"Collection volume, urine"
"Oxalate level, urine"
"Gentamicin timing, CSF"
"O_Oxalate level, urine"
"Angiotensin-converting enzyme, blood"
"O_Angiotensin-converting enzyme, blood"
"CD3 level, blood"
"Urobilinogen (dipstick), urine"
"Lactate dehydrogenase level, fluid"
"O_Lactate dehydrogenase level, fluid"
"Mugwort w6 IgE level, blood"
"Inhibin B level, blood"
"O_Inhibin B level, blood"
"TCR delta and gamma %, blood"
"APTT, blood"
"O_APTT, blood"
"Aldosterone level, plasma"
"Sp100antibody by Immunoblot"
"Barbiturate level, urine"
"Lemon IgE level, blood"
"O_Lemon IgE level, blood"
"Jak-2 Exon 12 by sequencing, blood"
"Isocyanate MDI IgE level, blood"
"Budgerigar serum protein IgE, blood"
"O_Budgerigar serum protein IgE, blood"
"Caffeine level, plasma"
"O_Isocyanate MDI IgE level, blood"
"Magnesium level, blood"
"O_Magnesium level, blood"
"Amylase level, fluid"
"O_Amylase level, fluid"
"Hazelnut IgE level, blood"
"O_Hazelnut IgE level, blood"
"Ma2 Abs, blood"
"Ku antibody (immunoblot), blood"
"Grape IgE level, blood"
"O_Grape IgE level, blood"
"Salmon IgE level, blood"
"O_Salmon IgE level, blood"
"Inhibin A level, blood"
"Vancomycin timing, CSF"
"Plum IgE level, blood"
"O_Inhibin A level, blood"
"O_Plum IgE level, blood"
"Latex IgE level, blood"
"Sunflower seed IgE level, blood"
"O_Latex IgE level, blood"
"O_Sunflower seed IgE level, blood"
"Basophil count, blood"
"Reticulocyte count, blood"
"Haemoglobin A2 level, blood"
"O_Reticulocyte count, blood"
"Mouse urine IgE level, blood"
"Platelet glycoprotein IIb/IIIa, blood"
"O_Mouse urine IgE level, blood"
"Bicarbonate level, blood"
"Creatine kinase level, blood"
"Chloride level, blood"
"O_Creatine kinase level, blood"
"O_Chloride level, blood"
"Coconut IgE level, blood"
"O_Coconut IgE level, blood"
"Goats milk IgE level, blood"
"O_Goats milk IgE level, blood"
"Pumpkin seed IgE level, blood"
"Erythrocyte sedimentation rate, blood"
"O_Erythrocyte sedimentation rate, blood"
"O_Serum free light chains, blood"
"CALC Anion Gap"
"Copper level, serum"
"Rye IgE level, blood"
"O_Rye IgE level, blood"
"GABA(a)R antibody, CSF"
"Gelatin IgE level, blood"
"Platelet glycoprotein Ia/IIa, blood"
"O_Gelatin IgE level, blood"
"O_Haemoglobin H inclusions screen, blood"
"Tyrosine level, blood"
"Seminal fluid IgE level, blood"
"O_Seminal fluid IgE level, blood"
"Complement C4 level, blood"
"O_Complement C4 level, blood"
"O_Citrulline level, blood"
"O_Copper level, urine"
"Prothrombin time, blood"
"O_Prothrombin time, blood"
"Complement C3 level, blood"
"O_Complement C3 level, blood"
"Tobramycin level, blood"
"Glycosaminoglycans screen, urine"
"O_Tobramycin level, blood"
"Strawberry IgE level, blood"
"O_Glycosaminoglycans screen, urine"
"O_Aluminium level, blood"
"O_Strawberry IgE level, blood"
"Reticulocyte %, blood"
"Selenium level, blood"
"ANCA Titre, Blood"
"Mi-2 alpha antibody (immunoblot), blood"
"O_Selenium level, blood"
"European hornet venom IgE level, blood"
"Lime IgE level, blood"
"O_European hornet venom IgE level, blood"
"Buckwheat IgE level, blood"
"O_Lime IgE level, blood"
"O_Buckwheat IgE level, blood"
"Metadrenaline output, 24hr urine"
"Somatostatin level, plasma"
"O_Androstenedione level, blood"
"O_Metadrenaline output, 24hr urine"
"Pigeon feathers IgE level, blood"
"O_Pigeon feathers IgE level, blood"
"Cardiolipin IgG Ab level, blood"
"PM/Scl-100 antibody (immunoblot), blood"
"Chloride, sweat"
"Clam IgE level, blood"
"O_Clam IgE level, blood"
"Mi-2 beta antibody (immunoblot), blood"
"Garlic IgE level, blood"
"Pear IgE level, blood"
"Mitotane level, blood"
"O_Garlic IgE level, blood"
"O_Pear IgE level, blood"
"Urea level, plasma"
"FHHb (BG))"
"IGF-1 level, blood"
"O_IGF-1 level, blood"
"Macadamia Nut IgE level, blood"
"Creatinine clearance, urine"
"O_Macadamia Nut IgE level, blood"
"Peach IgE level, blood"
"O_Creatinine clearance, urine"
"O_Peach IgE level, blood"
"O_Homocysteine level, blood"
"Glucose level 30min, plasma"
"Amphiphysin Abs, blood"
"Homocysteine level, plasma"
"Tuna fish IgE level, blood"
"O_Tuna fish IgE level, blood"
"Alanine aminotransferase level, blood"
"Albumin level, urine"
"O_Alanine aminotransferase level, blood"
"Smooth muscle IgG Ab level, blood"
"O_Albumin level, urine"
"Theophylline level, blood"
"Amino acids level, plasma"
"Wheat IgE level, blood"
"Pigeon serum proteins IgG antibodies"
"Crab IgE level, blood"
"O_Theophylline level, blood"
"O_Wheat IgE level, blood"
"O_Crab IgE level, blood"
"Paprika IgE level, blood"
"Haemoglobin D level, blood"
"Apolipoprotein A-I level, plasma"
"O_Paprika IgE level, blood"
"Monocyte %, blood"
"O_Lactate level, blood"
"Haemoglobin S level, blood"
"Chromogranin A level, serum"
"Lipase level, fluid"
"Voltage-gated K channel Ab, blood"
"O_Voltage-gated K channel Ab, blood"
"Kiwi fruit IgE level, blood"
"C24 long chain fatty acid level, plasma"
"O_Kiwi fruit IgE level, blood"
"Salicylate level, blood"
"O_Vitamin B12 level, blood"
"O_Salicylate level, blood"
"Common ragweed IgE level, blood"
"O_Common ragweed IgE level, blood"
"Basophil %, blood"
"Ketones (dipstick), urine"
"Tacrolimus level, blood"
"O_Tacrolimus level, blood"
"Cocaine metabolite level, urine"
"Basil IgE level, blood"
"O_Basil IgE level, blood"
"Amylase level, blood"
"O_Amylase level, blood"
"O_Urea level, blood"
"O_Copper level, blood"
"IgG Kappa/ Lambda Heavy Chain Ratio"
"IgM Kappa/ Lambda Heavy Chain Ratio"
"Urine Dipstick Clarity"
"Lactate level, plasma"
"Squid IgE level, blood"
"Hu Ab level, CSF"
"O_Squid IgE level, blood"
"C3 nephritic factor level, blood"
"O_C3 nephritic factor level, blood"
"Almond IgE level, blood"
"O_Almond IgE level, blood"
"Platelet ATP:ADP ratio, blood"
"Orange IgE level, blood"
"O_Orange IgE level, blood"
"Bicarbonate level, urine"
"O_Bicarbonate level, urine"
"Monocyte count, blood"
"rCor a 1 hazelnut f428 IgE level, blood"
"Raspberry IgE level, blood"
"O_Raspberry IgE level, blood"
"Immunofixation, blood"
"Vasoactive intestinal polypeptide,plasma"
"C1 esterase inhibitor level, blood"
"O_C1 esterase inhibitor level, blood"
"Poultry feathers IgE level, blood"
"Mustard IgE level, blood"
"O_Mustard IgE level, blood"
"Apricot IgE level, blood"
"Anchovy IgE level, blood"
"O_Poultry feathers IgE level, blood"
"O_Anchovy IgE level, blood"
"O_Apricot IgE level, blood"
"Nucleated red blood cell count, blood"
"Free T3 level, blood"
"Haemoglobin F level, blood"
"Metamyelocyte count, blood"
"O_Free T3 level, blood"
"Glycine receptor antibody, serum"
"Chloride level, urine"
"ACT"
"Haemoglobin C level, blood"
"O_Chloride level, urine"
"Banana IgE level, blood"
"C26 long chain fatty acid level, plasma"
"White bean IgE level, blood"
"Beef IgE level, blood"
"O_Banana IgE level, blood"
"Rice IgE level, blood"
"O_Beef IgE level, blood"
"O_White bean IgE level, blood"
"O_Rice IgE level, blood"
"Alk phos level, blood"
"O_Alk phos level, blood"
"PCO2"
"IgG subclass 4 level, blood"
"Red blood cell folate, blood"
"Barley IgE level, blood"
"Chick pea IgE level, blood"
"O_Barley IgE level, blood"
"O_Chick pea IgE level, blood"
"O_Red blood cell folate, blood"
"Striated muscle Ab level, blood"
"O_Striated muscle Ab level, blood"
"Protein level, urine"
"O_Protein level, urine"
"Macroprolactin level, blood"
"Bilirubin level, urine"
"Naive B cells IgD+ CD27-, blood"
"O_Bilirubin level, urine"
"Manganese level, serum"
"O_Ferritin level, blood"
"Anti-beta2-glycoprotein 1 IgM, blood"
"O_Aldosterone level, blood"
"Reducing substance, faeces"
"O_Reducing substance, faeces"
"O_Fructosamine level, blood"
"Vancomycin timing, serum"
"SRP antibody (immunoblot), blood"
"rCor a 14 hazelnut f439 IgE level, blood"
"O_Yeast IgE level, blood"
"Red Cell Distribution width"
"Voltage-gated K channel Ab, CSF"
"Pork IgE level, blood"
"Haddock IgE level, blood"
"CD21- CD38- %, blood"
"O_Pork IgE level, blood"
"O_Haddock IgE level, blood"
"Sodium level, sweat"
"FCOHb (BG)"
"pH, fluid"
"Cheese mould IgE level, blood"
"O_Cheese mould IgE level, blood"
"CEA level, fluid"
"O_CEA level, fluid"
"Protein level, fluid"
"O_Protein level, fluid"
"Egg yolk IgE level, blood"
"Apple IgE level, blood"
"O_Egg yolk IgE level, blood"
"KRAS Mutation Analysis"
"O_Apple IgE level, blood"
"Protein per day, urine"
"Pea IgE level, blood"
"Cherry IgE level, blood"
"O_Pea IgE level, blood"
"O_Cherry IgE level, blood"
"Neurotensin level, blood"
"Sodium level, blood"
"MetHb (BG)"
"O_Sodium level, blood"
"MDA5 antibody (immunoblot), blood"
"Onion IgE level, blood"
"Aldosterone:Renin ratio 0min"
"O_Onion IgE level, blood"
"rCor a 8 hazelnut f425 IgE level, blood"
"Birch IgE level, blood"
"O_Birch IgE level, blood"
"1,25-Dihydroxy Vitamin D3 level, plasma"
"Vancomycin level, serum"
"Glucose level, fluid"
"O_Glucose level, fluid"
"IgG subclass 1 level, blood"
"Total metadrenalines:creat ratio, urine"
"Galactose-1-phosphate level, blood"
"O_Galactose-1-phosphate level, blood"
"Creatinine level, blood"
"O_Creatinine level, Blood"
"O_Haemoglobin A1c level, blood"
"Creatinine level, fluid"
"Cryoglobulin, blood"
"O_Creatinine level, fluid"
"O_Cryoglobulin, blood"
"Red Blood Cell Distribution Width"
"Urate level, blood"
"O_Urate level, blood"
"IgG subclass 3 level, blood"
"Protein:creatinine index, urine"
"Insulin level, serum"
"Triglycerides level, fluid"
"O_Triglycerides level, fluid"
"Potassium level, blood"
"O_Potassium level, blood"
"Lithium level, blood"
"IgG subclass 2 level, blood"
"O_Haemoglobin electrophoresis, blood"
"O_Lithium level, blood"
"IgD level, blood"
"Centromere Ab level, blood"
"CXCR5+CD4 T Cells, blood"
"Myeloperoxidase Ab level, blood"
"Haptoglobin level, serum"
"O_Haptoglobin level, serum"
"Urea level, urine"
"Cod IgE level, blood"
"O_Urea level, urine"
"O_Cod IgE level, blood"
"O_Myeloperoxidase Ab level, blood"
"Eosinophil count, blood"
"Triglycerides level, blood"
"O_Triglycerides level, blood"
"Cyclic citrullinated peptide Ab, blood"
"O_Cyclic citrullinated peptide Ab, blood"
"Phenytoin level, blood"
"Plasma cell count, blood"
"O_Phenytoin level, blood"
"Light chain output per day, urine"
"Acylcarnitine profile, blood spot"
"Mango IgE level, blood"
"O_Mango IgE level, blood"
"CD4RO+ Memory CD4 T Cells, blood"
"NRBC count per 100 WBC, blood"
"Normetadrenaline level, plasma"
"IgA Kappa/ Lambda Heavy Chain Ratio"
"Finch serum proteins IgG Abs, blood"
"ACTH pre-15min, plasma"
"Cows milk IgE level, blood"
"O_Cows milk IgE level, blood"
"Live cell NMDA receptor antibody, CSF"
"Eosinophil %, blood"
"Natalizumab antibodies, blood"
"Pigeon droppings IgE level, blood"
"O_Pigeon droppings IgE level, blood"
"Metamyelocyte %, blood"
"Inorganic phosphate level, urine"
"O_Inorganic phosphate level, urine"
"C22 long chain fatty acid level, plasma"
"CD4RA+ Naïve CD4 T Cells, blood"
"pCO2 POC"
"Anti-beta2-glycoprotein 1 IgG, blood"
"Zinc transporter 8 (ZnT8) Ab, blood"
"Kaolin clotting ratio, blood"
"Oat IgE level, blood"
"Pristanate level, blood"
"O_Oat IgE level, blood"
"Poppy seed IgE level, blood"
"O_Poppy seed IgE level, blood"
"Free T4 level, blood"
"O_Free T4 level, blood"
"Alpha-1-antitrypsin level, blood"
"O_Alpha-1-antitrypsin level, blood"
"Egg white IgE level, blood"
"O_Egg white IgE level, blood"
"Recoverin Abs, blood"
"Aluminium level, serum"
"rTri a 14 wheat f433 IgE level, blood"
"CD8RA+ Naïve CD8 T Cells, blood"
"O_Differential white cell count, blood"
"CD4 Effector T Cells, blood"
"Parrot serum proteins IgG antibodies"
"O_Proinsulin level, blood"
"O_Liver kidney microsomal Abs, blood"
"Adrenocorticotrophic hormone, plasma"
"Protein C level, blood"
"Tomato IgE level, blood"
"O_Tomato IgE level, blood"
"Leucocytes dipstick, urine"
"CD3 T cell count"
"Lipase level, blood"
"O_Lipase level, blood"
"Cat dander IgE level, blood"
"O_Cat dander IgE level, blood"
"Ionised calcium"
"Mean cell volume, blood"
"Mackerel IgE level, blood"
"O_Mackerel IgE level, blood"
"Ecarin clotting time, blood"
"ACTH level 30min, plasma"
"Prothrombin time and INR, blood"
"O_Prothrombin time and INR, blood"
"Haemoglobin A level, blood"
"pH"
"Volume (referral lab), urine"
"Recoverin, CSF"
"Galactose-1-phosphate/Hb level, blood"
"Dexamethasone level, serum"
"Sodium level, fluid"
"O_Sodium level, fluid"
"Glucose level, plasma"
"Iron level, serum"
"Glucose (dipstick), urine"
"TIF1 gamma antibody (immunoblot), blood"
"Hen serum proteins IgG antibodies"
"Myelocyte count, blood"
"Thyroglobulin level, serum"
"Alpha-1-antitrypsin Pi phenotype, blood"
"Sweet Chestnut IgE level, blood"
"Lead level, blood"
"O_Sweet Chestnut IgE level, blood"
"O_Alpha-1-antitrypsin Pi phenotype,blood"
"O_Lead level, blood"
"C-peptide level 120min, blood"
"Triglyceride"
"Folate level, serum"
"Ganglioside GM1 antibody, blood"
"O_Vitamin B1 level, blood"
"Cholesterol level, fluid"
"O_Ganglioside GM1 Ab, blood"
"O_Cholesterol level, fluid"
"Blackberry IgE level, blood"
"Coffee IgE level, blood"
"O_Blackberry IgE level, blood"
"O_Coffee IgE level, blood"
"C-peptide level, blood"
"Aspergillus fumigatus IgG, blood"
"O_C-peptide level, blood"
"O_Aspergillus fumigatus IgG, blood"
"O_Glycine receptor antibody, blood"
"Carboxyhaemoglobin level, blood"
"Pumpkin IgE level, blood"
"Memory B cells CD19+ CD27+, blood"
"O_Carboxyhaemoglobin level, blood"
"Ferritin level, serum"
"Pecan nut IgE level, blood"
"O_Pecan nut IgE level, blood"
"IGLON5 Antibodies, Blood"
"pH, faeces"
"Mosquito IgE level, blood"
"O_Mosquito IgE level, blood"
"Platelets"
"AMPA1/2 receptor antibody, serum"
"Prothrombin time reference"
"CD8RO+ Memory CD8 T Cells, blood"
"% Hypochromic Red Cells"
"Carbamazepine level, blood"
"O_Carbamazepine level, blood"
"Platelet count, blood"
"O_Actual bicarbonate level, blood"
"Proteinase 3 Ab level, blood"
"Aquaporin-4 Ab level, blood"
"O_Aquaporin-4 Ab level, blood"
"Yo Abs (blot), blood"
"Fixed cell NMDA receptor antibody, CSF"
"Horse dander IgE level, blood"
"O_Proteinase 3 Ab level, blood"
"O_Horse dander IgE level, blood"
"Direct antiglobulin test baby, blood"
"Adjusted calcium level, blood"
"Thyroid stimulating hormone, blood"
"O_Thyroid stimulating hormone, blood"
"Calprotectin level, faeces"
"O_Calprotectin level, faeces"
"Intrinsic factor Ab level, blood"
"O_Intrinsic factor Ab level, blood"
"25-hydroxy vitamin D3 level, serum"
"O_Platelet function, blood"
"Urea level 240min, blood"
"Lactate dehydrogenase level, blood"
"O_Lactate dehydrogenase level, blood"
"Peanut IgE level, blood"
"Albumin level, fluid"
"O_Peanut IgE level, blood"
"rCor a 9 hazelnut f440 IgE level, blood"
"O_Albumin level, fluid"
"Urea level, fluid"
"7-alpha cholestenone level, blood"
"Total Protein level, urine"
"Chlorhexidine c8 IgE level, blood"
"O_Urea level, fluid"
"Ginger IgE level, blood"
"O_Alder tree IgE level, blood"
"O_Ginger IgE level, blood"
"Bilirubin level, fluid"
"Adalimumab Serum-Drug level, blood"
"O_Amino acids level, blood"
"O_Bilirubin level, fluid"
"Free fatty acid level, serum"
"Soya bean IgE level, blood"
"O_Soya bean IgE level, blood"
"Maize/Corn IgE level, blood"
"vWF multimers, blood"
"O_Maize/Corn IgE level, blood"
"O_vWF multimers, blood"
"TCR alpha and beta %, blood"
"Aspartate aminotransferase"
"O_Lamotrigine level, blood"
"Chicken IgE level, blood"
"O_Chicken IgE level, blood"
"Folate level, whole blood"
"Leucocyte Immunophenotyping Analysis"
"Dehydroepiandrosterone sulphate, blood"
"O_Dehydroepiandrosterone sulphate, blood"
"Osteocalcin level, blood"
"Estimated Osmolality (BG)"
"Urine Dipstick Colour"
"O_Vitamin B12 and folate level, blood"
"MCHC"
"CA-19-9 level, blood"
"O_CA-19-9 level, blood"
"Glomerular basement membrane Ab, blood"
"Gamma glutamyl transferase"
"O_Glomerular basement membrane Ab, blood"
"Granulocyte %, blood"
"rAra h 8 peanut f352 IgE level, blood"
"O_Serum for Oligoclonal banding"
"Adrenal cortex Ab level, blood"
"O_Adrenal cortex Ab level, blood"
"CD8 Effector T Cells, blood"
"O_Renin level, blood"
"Alpha-galactosidase enzyme level, blood"
"O_Alpha-galactosidase enzyme level,blood"
"Neutrophil count, blood"
"Sodium level, urine"
"Potassium level, urine"
"PM/Scl-75antibody by Immunoblot"
"Calcitonin level, blood"
"O_Budgerigar (serum) IgG Ab, blood"
"O_Calcitonin level, blood"
"Cockatiel serum proteins IgG antibodies"
"IGLON5 Titre, Blood"
"Specimen type (BG)"
"Cryoglobulin immunofixation, blood"
"O_Glucose level 30min, blood"
"Prolactin level, serum"
"Gastric parietal cell Ab level,blood"
"MuSK antibody level, blood"
"O_MuSK Ab level, blood"
"APTT reference, blood"
"Vitamin B12 level, serum"
"HbA1c"
"O_Smooth muscle antibodies level, blood"
"IgG Kappa Heavy Chain Measurement, blood"
"Pepper IgE level, blood"
"O_Pepper IgE level, blood"
"Sugar chromatography, urine"
"Turkey serum proteins IgG Ab"
"ACTH level 60min, plasma"
"Rapeseed IgE level, blood"
"O_Rapeseed IgE level, blood"
"C-reactive protein level, blood"
"O_C-reactive protein level, blood"
"17-alphahydroxyprogesterone level, blood"
"Additional Paraneoplastic Abs, CSF"
"Mannose binding lectin level, blood"
"Transferrin level, blood"
"O_Transferrin level, blood"
"Hu Ab (blot), blood"
"Glucose level, dialysate"
"1,25-dihydroxy Vitamin D level, serum"
"Complement C1q level, blood"
"Potassium level, fluid"
"O_Glucose level, dialysate"
"Cryofibrinogen immunofixation, blood"
"O_Potassium level, fluid"
"Total bilirubin level, blood"
